# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
201-001	……자.
201-027	츠루네 담당자가 단서를 숨기는 것도, 주로 이 근처인 모양이다.⏎그러니까 나와 아리아, 둘이서 소문을 조사하면서 눈을 부릅뜨면,⏎뭔가 찾을 수 있지 않을까 기대하고 있다.
201-028	뭐……어느 쪽이든 가망은 없지만.
201-029	그래도 쏴야 맞는 것도 있다.
201-030	그런데, 여긴 정말───,
201-031	들어갈 수 없었던 게 아까울 정도로 좋은 학교야…….
201-032	이런 모습일 줄은 몰랐어…….
201-033	……그런데 아리아나 릴리는 물론,⏎엄마나 아빠와도 떨어지게 된다면, 애초에 안 갔을 거다.
201-034	물론 학비도 문제지만.⏎……그러고 보니 나, 여전히 프레이야한테 보수를 받고 있구나.
201-035	입금 시간을 봐서는, 송금은 자동인 모양이지만……,
201-036	아무튼 우리는 근처에 온 푸드트럭 옆에 자리를 잡고,⏎오래……오직 귀를 기울이고 있었다.
201-037	들어오는 얘기로 보면, 뭐……,
201-038	……굳이 말하자면, 우리랑 츠루네 동료들은 지금 불리한 상황인 모양이다.
201-039	"누구? '헬비'라는…… 다들 그 애 얘기뿐이야"
201-040	"애가 아니라, 녀석이야"
201-041	"남자?"
201-042	"그래. 여자 같은 이름이라서"
201-043	"흐음"
201-044	그래, 소문은 제쳐 두고, 다른 후보자가 압도적으로 지지를 받고 있다.⏎이건, 나도 예상 밖이었다.
201-045	하지만 잘 생각해 보면,⏎'학교에 가지 않아도 되게 하고, 욕먹지 않을 미래를 목표로 한다'⏎라는 게, 절망 한복판에 있는 젊은이에게는 강하게 꽂히겠지…….
201-046	'AARC'에 들어가기 전의 나라면, 휩쓸렸을 거다.
201-047	"과격한 주장을 하는 녀석이라. 학생회장 권리를 이용해서……,⏎뭐였더라……의무 교육을 폐지하고 싶다, 였던가?"
201-048	"확실히 세이코는 평판 좋은 학교지만,⏎그것만으로 그렇게 큰 사회 변화를 일으킬 수 있다곤, 좀……"
201-049	"……오"
201-050	"한다면, 적극적으로 츠루를 응원하는 게 좋을 것 같은데……,⏎여기 학생이 아니고, 사정을 몰라서 말이지"
201-051	응, 내 휴대폰……,
201-052	아이리스, 섣달그믐, 나랑 같이 보내지 않을래?
201-053	"……응?"
201-054	"왜 그래?"
201-055	"이거 어떻게 생각해?"
201-056	아리아에게 아야메의 메시지를 보여준다.
201-057	"어떻게든……으음. 섣달그믐이잖아?"
201-058	"……뭐, 데이트 신청 아니야?"
201-059	그건……나도 생각했지만……왜?
201-060	연말이라고 하면, 커플끼리거나 친구들끼리거나 둘 중 하나잖아.
201-061	그런데 이건, 나랑 아야메의 개인 채팅인데……,
201-062	애초에 아야메는, 나를 그런 식으로 보지 않잖아.
201-063	으음……,
201-064	"네쪽 학원 친구들도 같이 하는 거야?"
201-065	……답장을, 기다린다.
201-066	그래. 소소한 파티!⏎미안, 다른 애들은 안 맞을 것 같아서.
201-067	어느 쪽이든 다들, 낯을 가리잖아.⏎내 친구들은 꽤나 들떠 버리는 편이라서.
201-068	"뭐……그렇긴 하네.⏎걔들은 확실히 부끄럼쟁이뿐이야"
201-069	게다가 니아 같은 애는……대화조차 못 하니까, 지금.
201-070	점점 불안해져 오는데……으으.
201-071	좋아, 갈게.
201-072	오케이!⏎그럼, 우리 학교 캠퍼스에서 만나기로 하자.⏎밤 11시!
201-073	"또 이렇게, 늦은 시간이네"
201-074	"그러게……"
201-075	……뭐랄까 묘한 기분이 드는 건, 생각 과한 걸까?
201-076	……? 어라.
201-077	어이 어이 어이, 진짜냐…… 이런 데서 만나다니.
201-078	"……"
201-079	"아─, 안녕하세요?"
201-080	"……"
201-081	"너희 강해 보이네, 나 같은 건 단번에 끝장나겠다"
201-082	"푸핫……! 단번에 끝장…… 뭐야! 진심으로 하는 소리야?"
201-083	"미안, 나 돌려 말하는 거 싫어해서 말이야.⏎이 정도로 배짱 있는 학생이 이 학교엔 없어서 놀랐어.⏎응? '배짱'? '근성'? 어느 쪽이더라"
201-084	"응, 진짜로. 없는 타입이야.⏎사진이나 조각에 매달리는 인간뿐인 여기선, 상당히 드물어"
201-085	"너희 같은 센 둘이 세이코에서 뭐 하는 거야?⏎이 동네 사람은 아니잖아?"
201-086	"뭐 그렇지. 우리는……귀를 기울이고 있었어, 라고 할까"
201-087	"흐에. 뭐에?"
201-088	"뭐, 다들 잡담 정도다"
201-089	"오─……아─ 그렇구나"
201-090	"……"
201-091	"야, 잠깐───잡담이라고, 하하, 왜?"
201-092	"아. 아니, 우선은 자기소개부터인가. 어색해져도 그렇고……"
201-093	"나는 헬비라고 해. 여기 학생회장을 노리고 있어.⏎교육 제도 자체를 끝내려고 하고 있다. 잘 부탁해!"
201-094	"하아!?"
201-095	"아아, 여자 같은 이름이라 놀랐지. 카하핫!⏎보통은 헤드비히라든가인데 말이야. 그래도 마음에 들어, 나!"
201-096	"아니, 딱히 놀라진……아, 마음에 들어하는구나……"
201-097	흠…… 마음에 들어하는구나, 그 이름.
201-098	……아무튼 그렇다니까 아리아. 얘야.
201-099	뭔가 얘, 만나 보니 인상이 꽤 다르네……,
201-100	"나는 아리아. 잘 부탁해"
201-101	"아이리스다……그래서 우리한테 볼일 있어?⏎표 노리고 인사라도 하러 온 거야?"
201-102	"응? 아아"
201-103	"그렇지?"
201-104	"물론"
201-105	오오.
201-106	"실제로 현장에 발을 들여, 사람을 만나야 하니까"
201-107	"뭐 실제로는, 사람 만나는 것도 좋아할 뿐이지만"
201-108	"그래서 나는 여기 있는 거야, 사람을 만나기 위해"
201-109	"여기 있다는 건……학교에 있다는 거?"
201-110	"그래그래. 아빠 방침으로 지금까지 인생,⏎줄곧 홈스쿨링이었으니까……"
201-111	"아직 익숙해지지가 않아, 남과의 교류라는 녀석에"
201-112	"그래서 하루에 한 명 친구 만들기를 목표로 해. 그러면 나을 거야"
201-113	방금……진심인 거야??
201-114	"……좀 놀랐네. 웹사이트에서 본 인상과 다르네"
201-115	"웹사이트? 뭔데?"
201-116	"세이코 미술학원 거.⏎실려 있잖아, 학생회 선거 후보자 페이지에"
201-117	"어?"
201-118	"내가?"
201-119	"그거 진짜야?"
201-120	"자, 몰랐던 거야?"
201-121	"전혀 처음 들어"
201-122	"나는 뭐라고 했더라. 뭐라고 했더라?"
201-123	어이 어이, 어쩔 수 없네……,
201-124	스마트폰으로 그 페이지를 열어 보여 준다.
201-125	"아─……"
201-126	"오오─"
201-127	"그래 이거야! 기억나 기억나!"
201-128	너무 헐거워, 얘는……,
201-129	"아니야! 그때는 굉장했어! 내가 무대에 올라가서 말이야……"
201-130	"아 그래, 떠올랐어! 너희 츠루라는 애 알아?⏎또 한 명의 학생회장 후보"
201-131	"알아"
201-132	그걸 듣고, 손가락을 번쩍 들어 가리킨다.
201-133	"츠루는 말이야……"
201-134	"……좋은 녀석이야. 어디서 다른 얘기 들었을지도 모르지만"
201-135	"나, 진짜로 입학하기 전엔 몰랐어.⏎누군가한테 진짜로 끔찍한 짓을 할 수 있는 녀석이 세상에 있다는 걸.⏎츠루 소문도 말이야, 퍼뜨리는 녀석들이 있어───믿기지 않지?"
201-136	"그 애가 말이 없어서일까? 진짜 개같아"
201-137	……
201-138	잠깐 잠깐, 뭐라고? 얘, 츠루를 감싸는 거야?
201-139	"나, 츠루랑 같이 논 적 있는데,⏎걔 이상한 친구가 많아. 다들 재밌었어"
201-140	"만약 츠루를 만난 적 없으면, 돌아가기 전에 만나는 게 좋아.⏎얘기해 보면 알아, 진짜 좋은 애니까!"
201-141	"하하! '얘기'가 아니지! 실수했네 실수.⏎츠루는 박스를 써서 말해───아─, 뭐, 만나면 알 거야!"
201-142	"말하고 싶을 때 언제든 말할 수 있는 사람이 있다는 건 좋아───.⏎항상 그렇다면, 진짜 좋겠어!"
201-143	"아아───뭐, 그건 내 공약은 아니지만.⏎내 공약은, 의무 교육을 끝내고 싶은 거야. 왜냐면 그건───"
201-144	"───의무 교육이라는 건, 기능하지 않으니까, 카하핫"
201-145	"……무슨 뜻이야?"
201-146	"마지막 10년이니까, 통째로 바꾸는 것도 있다고 생각해.⏎그다지 잃을 것도 없잖아?"
201-147	"왜냐면, 같은 걸 무한히 반복하면서, 다른 결과를 기대하는 편이,⏎훨씬 더 어떻게 된 거잖아───이건 내 지론이지만"
201-148	"……물론 넘어설 수 있다면 좋겠지!"
201-149	"……그렇네, 나도 그렇게 생각해"
201-150	……
201-151	"그럼, 슬슬 갈게"
201-152	"둘 다 땡큐! 시간 내 줘서!"
201-153	"아─ 그래, 인터넷이라고 하면,⏎거기서도 츠루가 이것저것 욕먹고 있지 않으려나……"
201-154	"너희도 인터넷 해?⏎된다면 너희도 세이코 상황을───"
201-155	"아─, 아니. 역시 과한가! 잊어 줘!"
201-156	"……아니, 역시 부탁할게. 될 수 있으면 좋고, 전해 줘.⏎일부러 인터넷에서 쌍욕 같은 거 하지 말라고! 잘 부탁해!"
201-157	"그럼, 또또 봐~"
201-158	"어이 어이. 그대로 가 버리는 거야?"
201-159	"너희 자유 시간이잖아, 방해하고 싶지 않아"
201-160	"그럼. 또 어디선가 만나자"
201-161	그는 윙크하고……멀어져 갔다.
201-162	얘는……난감하네……,
201-163	……진짜로 말이야, 부탁이야.⏎왜 저렇게, 밉살스럽게 짜증나는 녀석이 아닌 거야!?
201-164	"흔들리는 거야?"
201-165	얘가 좀 더……이렇게⏎여자 같고 게으른 쓰레기였으면 좋았을 텐데!⏎이거, 상황을 뒤집을 난이도도 높아.
201-166	앉아 있는 테이블에 머리를 부딪친다.⏎프레이야 씨 말이야……정말 너는,⏎소식 불명이 돼도 여전히 우리를 들쑤셔 주는구나.
201-167	으가아……,
201-168	너, 대체 어디서 뭐 하는 거야,⏎그 엉터리 시는 뭐야? 의미를 모르겠어…….
201-169	뭐……,
201-170	아무튼 이다.
201-171	이렇게 멀리 나온 덕분에……여러모로 수확이 있었던 건 확실하다.
