# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
045-001	으음…….
045-030	어쩌지, 앞질러 가는 게 나을까?⏎아니 근데 가까이 갔을 때 괜히 오해받으면 싫고…….
045-031	……결국 나는 그대로 걷고 있었다. 보지도 않는 폰을 쳐다보면서⏎둘이서 인적 없는 거리를 걸어간다───분명 같은 목적지로.
045-032	……응, 여기서는 그 애 바인드가 안 보인다.⏎근데 언제 붉어져도 이상할 게 없다.
045-033	목적지가 같은 건 거의 확실하다…….⏎그럼 그 애도 같은 프로그램 참가자겠지만.
045-034	……아마 학교를 안 다니는 쪽 같고⏎날 '같은 프로그램 참가자겠지'라고 생각하진 않겠지…….⏎애초에 나 5분이나 뒤를 따라가 버렸고.
045-035	앗.
045-036	큰일이다───.
045-037	"너, 나 미행하는 거야?"
045-038	"헉!? 아, 아니야!"
045-039	에에?! 방금 그거 거짓말 판정이야?!
045-040	잠깐만 진짜!!
045-041	"……알았어, 아닌 게 아니야. 근데 들어 봐.⏎나랑 목적지가 같은 것 같아서 따라가려던 것뿐이야."
045-042	"스토커 같은 건 절대 아니니까! ……봐, 거짓말 아니지!"
045-043	"……"
045-044	"너도 'AARC'에 근무하는 거냐?"
045-045	"근무……? 뭐, 서명은 했지만. 너도?"
045-046	"……"
045-047	"……"
045-048	"야, 왜 말을 안 하는 거야?⏎너는 마음대로 물어보면서 나는 물어보면 안 돼?"
045-049	"칫……."
045-050	등을 돌리자마자 그 애는 걷기 시작했다.
045-051	……나는 살짝 종종걸음으로 다가가 등을 엄지로 푹 찔렀다.
045-052	"으왓!? 갑자기 뭐냐……!?"
045-053	"……이러면 날 봐 주잖아."
045-054	"아니, 보긴 했는데……그래서 뭐. 메쳐지고 싶냐?"
045-055	"메친다고? 메친다는 게 어떻게?"
045-056	"어, 어떻게라니……?"
045-057	"아아─, 미안 미안, 쿨한 언니는 질문엔 답 안 하시지."
045-058	"너 적당히 좀───"
045-059	"아이참, 목적지가 같으면 같이 가면 되잖아."
045-060	"딱히 널 짜증 나게 하고 싶은 건 아니야, 진짜로."
045-061	"짜증 나 있는 것도 사실이긴 한데, 거짓말은 아니라고 쳐도."
045-062	그 애는 또 말없이 걷기 시작했다.⏎나는 서둘러 따라붙어 능글맞게 옆에서 보폭을 맞춰 본다.
045-063	딱히 거절당하진 않았다.
045-064	"저기, 이름은? 어느 학교야?"
045-065	"너 같은 아가씨는 모르는 데."
045-066	"나 아가씨 아닌데?"
045-067	"……"
045-068	"너 벡고 학생이야?"
045-069	"……왜 그렇게 생각하냐."
045-070	"막 방과 후가 됐는데 교복을 안 입었잖아?⏎그럼 벡 고등학교인가 싶어서."
045-071	"……뭐, 정답."
045-072	"……"
045-073	"……이름, 아이리스다."
045-074	"그래, 고마워."
045-075	그렇게 말하고 그 애보다 조금 앞서 걷는다. 목적지까진 얼마 안 남았다.
045-076	"야……! 이름 대라고 해 놓고 넌 안 대는 거냐!?"
045-077	나는 어깨 너머로 그 애를 돌아본다.
045-078	"나에 대해 알고 싶어졌어?"
045-079	"그런 게 아니라고……!"
045-080	"흐응……"
045-081	쏟아지는 잔소리 속에서 나는 그대로 걸어간다.
045-082	이야…….
045-083	이런 애 놀리는 거, 신선하고 재미있……!!!
045-084	응, 이제 확신했다.
045-085	분명 이러면 즐겁게 지낼 수 있겠다───응, 전부 좋은 느낌으로!
