# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
184-001	그걸 목격한 순간───,
184-064	"헬비 씨가 다들을 여기로?"
184-065	아!? 니아!?
184-066	……게다가 메이와, 스토리!?⏎전원 여기에 사로잡혀 있는 거야!? 이런 때에!?
184-067	여긴 시간 흐름이 바깥과 같아야……!⏎……어떻게든 여기서 나가야 해!
184-068	외치려던 참에, 곧장 헬비가 이쪽을 봤다.
184-069	"이봐, 너……!"
184-070	"뭐, 뭐야……?"
184-071	"너 이 녀석과, 사이좋지!?"
184-072	아……아리아 말이야?
184-073	"이 녀석에게 다이브해! 부탁해!"
184-074	"……!"
184-075	"그녀를 멈춰 줘! 나로선 여기서는 닿지 않아……!"
184-076	"그런데, ……이 녀석은 일방적으로 '나'에게 닿아…… 틀림없어!"
184-077	왜……왜야?
184-078	그런 게 말이 되나?
184-079	"알아, 생각하고 싶어지지! 하지만 이론은 제쳐 둬!⏎부탁이야, 지금 당장 해 줘!"
184-080	쳇……,
184-081	좋아, 해 주지……!
184-082	……
184-083	……됐다, 싶은데?
184-084	"하아…… 결국 이걸로 어떻게든 해야 하는 거야?⏎나, 익숙하지 않은데"
184-085	"……"
184-086	이쪽에 등을 진 채로,⏎아리아는 어깨를 으쓱하고, 주먹을 꽉 쥐었다.
184-087	그리고 얼굴이 보일 만큼 돌아서 나를 봤다.
184-088	"시간도 없어. 너보다 먼저, 내가 한 수 따낼게"
184-089	"하지만 그냥 이기는 건 재미없잖아……,⏎이왕이면, 우리를 돕게 만들까"
184-090	"……아리아, 바깥에서 무슨 일이야? 저건 'RMI 분리'야?"
184-091	"……"
184-092	"일종의 도박이야. 별문제 아니야"
184-093	"농담 하지 마, 제대로 답해"
184-094	"뭐, 그 이상 소동이 된다면…… 자업자득이네, 포기해"
184-095	……!
184-096	떨린다. 들린 말에 귀를 의심했다…… 머리도 따라가지 못해.
184-097	믿을 수 없어…… 하필 아리아가, 그런 말을 하다니……,
184-098	……
184-099	"……우리 우정은, 또 끝나는 거야? 야"
184-100	"달라…… 그저 역할을 다하고 있을 뿐"
184-101	"다만 이건……"
184-102	"나와 너 이상으로, 소중한 역할이라는 것뿐이야"
184-103	"모르겠어……"
184-104	"무슨 일이 일어나고 있는지 알려 줘!"
184-105	"이 세계를 올바른 궤도로 되돌리기 위한 대승부야"
184-106	"너희 다섯은, 그 방해물이지"
184-107	"무슨 뜻이야?"
184-108	"그런 거야.⏎지금까지 그만큼 해 놓고, 아직 스스로 모르는 거지"
184-109	"젠, 젠장…… 뭐야……"
184-110	"……"
184-111	"됐어"
184-112	각오를 정해라.
184-113	너를 멈추면 되는 거지……? 알았어……,
184-114	아리아는 내가 잠재워 줄게.
184-115	"할 수 있다면 말이지"
184-116	"여기서 지난번에 누가 졌는지, 아무래도 잊어버린 것 같네"
184-117	"너, 아직 이게 '싸움'이라고 생각하는구나.⏎내 쪽이 좀 더 잘 아는 것 같은데"
184-118	"여기서 나는 싸울 필요 따위 없어, 아이리스……"
184-119	"왜냐면 나는 보여 주기만 하면 되니까……"
184-120	"바로 '나'라는 힘을 말이지"
