# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
074-001	"후……"
074-025	그러니까 당신은 불량 학생이라고요?
074-026	"그렇지, 딱 그거지."
074-027	"그쪽도 비슷한 거 아니냐?"
074-028	고개를 저어 부정합니다.
074-029	저는 좋은 성적이라든가, 그런 여러 이유로 뽑혔거든요.
074-030	"그런 의미가 아니야.⏎아니, 너도 어지간히 불량이잖아. 전과자잖냐?"
074-031	"……"
074-032	그러니까 제가 예전에 여러분께 말 안 했던 그 건 말인가요?
074-033	"아─, 이름이 뭐였더라……'니아'였나?⏎걔가 알아 온 거야."
074-034	……역시나. 그 정도까지 캐고 다녔다는 거네요.⏎생각한 대로 미레유 건만이 아니었던 거고요.
074-035	"……오늘은 말이 많네요. 손이 피곤해요.⏎게다가 그런 건 폰에 쓸 수가 없어서요."
074-036	"오! 그럼 귀여운 목소리로 물어볼 수 있는 거네."
074-037	"……"
074-038	"확실히 저는 예전에 베리키아에서 사고를 쳤어요.⏎정부 네트워크에 침입해서 체포됐죠.⏎───네, '해킹'이요."
074-039	……
074-040	"그 뒤로는 한 번도 안 했어요."
074-041	……
074-042	"애초에 왜 그런 짓을 한 거냐?"
074-043	"그냥 호기심이었어요. 저 호기심 왕성한 편이거든요."
074-044	"그래서 아이리스. 당신이 비행 소녀라 불리는 이유는요?"
074-045	"야야, 난 불량 학생이라고 했는데?"
074-046	"싸움 같은 거, 했나요?"
074-047	"아니, 나는 그냥 학교를 지겹도록 빼먹기만 하는 불량이야. 근데 진짜,⏎너에 아야메, 니아라는 애도───다들 뭔가 있는 거 아니냐?"
074-048	"혹시 메이도, 려나? 결국 그 애가 그⏎'죽음과 여름' 놈을 어떻게 잡았는지……아직도 모르는 채잖아."
074-049	"아니 그보다, 머리 나사 안 빠진 건 나뿐인 거냐??"
074-050	"아야메가 수상하다는 건가요? 왜요?"
074-051	"걔 친구 중에 전에 체포된 애가 있대."
074-052	"그렇군요……"
074-053	입가에 주먹을 대고 잠깐 생각합니다.
074-054	니아는……저에 관한 정보를 불법적인 수단으로 입수했을 가능성이 있습니다.⏎그 설명은 너무나도 구체적이었으니까요……,
074-055	그리고 메이는 뒷세계와 뭔가 연결돼 있고요…….⏎저한테 누명을 씌운 범인을 잡기 위해⏎'누군가'한테 전화를 걸어 힘을 빌렸다고 들었습니다.
074-056	게다가 아야메한테는 범죄자 친구가 있고……,⏎무엇보다 다이브까지 할 수 있다는 의혹도 있습니다.
074-057	그리고 저는……저니까요. 말할 것도 없겠네요.
074-058	정말이지 기묘한 집단입니다.
074-059	근데, 정말로 아이리스가……?
074-060	"왜?"
074-061	"……당신, 사정이 더 있어 보이네요."
074-062	"미안하네, 기대 못 채워 줘서."
074-063	응……이 사람, 생각보다 말재간이 좋습니다.
074-064	만약 솔직하게 여기서 그 친구 얘길 물어보면……,⏎솔직히 맞아도 이상하지 않습니다. ……바인드가 새빨갛고요.
074-065	……어쩔 수 없죠.
074-066	……
074-067	그럼 안을 좀 볼게요───,
074-068	"뭐───!!"
074-069	"……!!"
074-070	반사적으로 뒤로 떨어지며 저 자신을 기억과 이미지 속에 녹여⏎저라는 존재를 뒤집어 숨습니다.
074-071	……설마 이 애……이걸 인식하고 있는 건가요?
074-072	둘러보니 '마인드스케이프'에 떠오른 아이리스의 모습이 보입니다.⏎……분명히 의식이 있고 당황한 듯한 모습이.
074-073	이런 건……처음이었습니다.⏎대체 무슨 일인지 전혀 모르겠습니다.
074-074	게다가……제 존재를 들켰다면?⏎제 짓이라는 걸 저 애가 알아챈다면?
074-075	어떻게 해야……? 이런 건 전혀 예상 밖입니다.⏎지금 당장 벗어나야……?
074-076	───아뇨, 그럴 순 없습니다!⏎이대로 돌아가면 무조건 의심받습니다…….
074-077	저 애 머릿속에 뭔가 암시를 심어야……,⏎'힘이 불안정해졌다'라든가……?
074-078	위험은 있지만 이렇게 된 이상……,⏎아이리스도 다이브할 수 있다고 가정하고 움직일 수밖에 없습니다.
074-079	이건 즉……분명 다른 멤버들도……
074-080	반사적으로 고개를 젓습니다. 지금 생각할 일이 아니네요.
074-081	게다가 여기 너무 오래 머물면⏎제 기억이나 생각을 아이리스가 읽어 버릴 가능성도 생깁니다……,⏎확신은 없지만 그것만은 피하고 싶으니까요.
074-082	즉 제가 해야 할 일은……⏎암시를 건 다음 아이리스의 생각과 기억에서⏎최대한 정보를 얻고 나서 이탈하는 것……,
074-083	……
074-084	그럼 시작───,
074-085	……!?
074-086	주위가 변합니다.⏎마치……모든 걸 둘러싼 어두운 방처럼.⏎이건……뭐죠? 무슨 일이 일어나고 있는 거죠?
074-087	……방금 그건……,
074-088	너무나 무섭습니다. 방금 그 소리는 대체……?
074-089	다시 아이리스 쪽을 봅니다. 양손으로 얼굴을 가리고 있습니다.
074-090	뭔가……떠올리고 있는 건가요?
074-091	!? 크윽……! 저 애 감정이……!
074-092	안 돼……안 돼! 지금 이런 감정을 품으면 삼켜집니다!⏎삼켜지면 곤란한데……!
074-093	만약 여기서 저까지 감정에 휩쓸리면⏎보이고 싶지 않은 것까지 보여 버립니다……!
074-094	아, 진짜, 시간이 없습니다!
074-095	의지라는 이름의 쐐기를 박아 넣습니다───저와 저 애, 양쪽 마음에.
074-096	여기서 고쳐 쓰고 말겠습니다……!
