# Korean translation source -- In Falsus
# Format: <id><TAB><korean>, with U+23CE for an in-text line break.
# The original Japanese lives in the game install; run
#   ifalsus.py extract-translations && tools/dump_jp.py <NNN>
# to read it alongside this file.
228-001	밤 3시…….
228-037	이 느낌은 왠지, 마치……,
228-038	누군가의, 기억 같아.⏎어렴풋이 안개가 껴서……,
228-039	그런데, 키츠의 기억을 발견했을 때는, 더 선명하지 않았나?
228-040	……아니, 그랬지.⏎키츠는 사정이 있어서 특별히, 뚜렷하게 기억하고 있었던 거였다.
228-041	걷는 도중에 발을 멈춘다.⏎……문득 올려다봐도, 머리 위에는 아무것도 안 보인다.
228-042	뭔가 게임 스테이지 같아……,⏎물속에 잠수할 수 있지만, 물속이라면서,⏎지상과 같은 '중력'이 걸려 있는 느낌의, 그런 장소.
228-043	그런데 지금, 불안해서 견딜 수 없는 건……,
228-044	……여기서 못 나갈 것 같아서───.
228-045	"길이라도 잃은 거야?"
228-046	"……!!"
228-047	어───,
228-048	!?……
228-049	한 걸음, 뒷걸음질친다.
228-050	"아─……"
228-051	"……"
228-052	"뭐야, 또 유령이었다는 거야……"
228-053	"유……? 저……아니거든요……"
228-054	"에? 살아 있는 거야?"
228-055	"그럼 왜 그런 모습을 하고 있는 거야?"
228-056	"그……그런 모습이라니……어떤 거죠?"
228-057	"색이 옅어. 비쳐 보인다고 할까, 반투명하다고 할까"
228-058	"마치 잔상 같다고 할까, 그런 느낌이야"
228-059	"뭐 바인드는 안 보이지만……유령은 아닌 것 같네"
228-060	"대답을 안 하니까, 유령이라면"
228-061	점점 사고가 초조해져 간다.⏎뭘 말해야 할지 어떻게 해야 할지, 떠오르지 않아───,
228-062	'유령'이라는 건 무슨 뜻이야? 왜 여기 있는 거야?
228-063	그럼 여긴 저승───……이 아니라───,⏎애초에 뭐야? 여긴 어디야!?
228-064	"뭔가, 너라는 애는, 오고 싶어서 여기 온 게 아니구나?"
228-065	"돌아가고 싶어?"
228-066	무섭고 무서워서 마치, 죽어 버릴 것 같아……,
228-067	나는 그저……떨 뿐. 그때, 세계에 뭔가가 울려 퍼져서,⏎눈앞의 실루엣이 이쪽으로 얼굴을 돌려 왔다.
228-068	나를 보며 한 손을 들어, 다섯 손가락을 펼친다.
228-069	"여기, 오래 있으면 시간 감각이 없어져.⏎들어올 때의 이미지와는, 꽤 사정이 달라"
228-070	"뭐 걱정 마. 도와줄 테니까"
228-071	??……???
228-072	자기 얼굴을 손으로 움켜쥔다.⏎바인드를 잡아당겨 심장 고동을 확인하고 깊게 숨을 들이쉰다. 들이마신다.
228-073	방금 건……어디였을까…….⏎저것도 '마인드스케이프'?⏎저 '사람'은……사람이었던 걸까?
228-074	그런데, 시간 감각이───라니, 에에!?
228-075	벌써……4시 48분……!?
228-076	왜!?
228-077	지금까지 '마인드스케이프'에 들어가도, 몇 초밖에 안 지났는데!!
228-078	……오한이 든다. 핏기가 가시는 기분이 든다.
228-079	다시 한 번, 벗겨지지 않는 바인드를 아무 의미 없이 잡아당긴다.⏎그리고 침대에 주저앉아 머리를 감싸쥐었다.
228-080	다, 안 돼……,
228-081	이런 위험한 짓은 이제 못 해…….
